id,koordinat_x_before,koordinat_y_before
4122,107.515,-6.89985
4123,107.515,-6.89889
4124,107.515,-6.90016
4125,107.515,-6.90042
4126,107.518,-6.90511
4127,107.518,-6.90518
4128,107.518,-6.90528
4129,107.519,-6.90549
4130,107.519,-6.90554
4131,107.52,-6.90583
4132,107.52,-6.90584
4133,107.52,-6.90592
4134,107.52,-6.90593
4135,107.521,-6.90604
4136,107.522,-6.90596
4137,107.522,-6.90594
4138,107.523,-6.90581
4139,107.523,-6.90578
4140,107.523,-6.90577
4141,107.523,-6.90569
4142,107.523,-6.90565
4143,107.523,-6.90561
4144,107.524,-6.90559
4145,107.524,-6.90548
4146,107.525,-6.90523
4147,107.525,-6.90515
4148,107.526,-6.90505
4149,107.527,-6.90461
4150,107.528,-6.90452
4151,107.528,-6.90447
4152,107.53,-6.90408
4153,107.53,-6.90405
4154,107.53,-6.90401
4155,107.53,-6.90394
4156,107.532,-6.90375
4157,107.532,-6.90376
4158,107.532,-6.90375
4159,107.53,-6.90394
4160,107.53,-6.90408
4161,107.53,-6.9041
4162,107.53,-6.90412
4163,107.53,-6.90414
4164,107.53,-6.90416
4165,107.529,-6.90418
4166,107.529,-6.90422
4167,107.529,-6.90426
4168,107.529,-6.9043
4169,107.529,-6.90432
4170,107.529,-6.90434
4171,107.529,-6.90435
4172,107.529,-6.90436
4173,107.529,-6.90438
4174,107.528,-6.90443
4175,107.528,-6.90447
4176,107.528,-6.90449
4177,107.528,-6.90452
4178,107.528,-6.90454
4179,107.528,-6.9046
4180,107.528,-6.90462
4181,107.526,-6.905
4182,107.526,-6.90506
4183,107.525,-6.90528
4184,107.525,-6.90535
4185,107.524,-6.90549
4186,107.524,-6.90556
4187,107.524,-6.90565
4188,107.524,-6.90565
4189,107.524,-6.90567
4190,107.523,-6.90578
4191,107.523,-6.90586
4192,107.522,-6.90596
4193,107.522,-6.90597
4194,107.522,-6.90608
4195,107.521,-6.90619
4196,107.521,-6.90622
4197,107.52,-6.90612
4198,107.52,-6.90608
4199,107.52,-6.90603
4200,107.52,-6.9059
4201,107.519,-6.90582
4202,107.519,-6.90574
4203,107.518,-6.9053
4204,107.518,-6.90498
4205,107.518,-6.90471
4206,107.518,-6.90409
4207,107.518,-6.90405
4208,107.518,-6.90384
4209,107.518,-6.90377
4210,107.517,-6.90364
4211,107.517,-6.9036
4212,107.517,-6.90339
4213,107.517,-6.90319
4214,107.517,-6.9031
4215,107.516,-6.90289
4216,107.516,-6.90277
4217,107.516,-6.90224
4218,107.515,-6.90068
4219,107.515,-6.90055
4220,107.515,-6.89995
4221,107.515,-6.89968
4222,107.515,-6.90009
4223,107.515,-6.90038
4224,107.516,-6.9014
4225,107.518,-6.90518
4226,107.518,-6.90529
4227,107.519,-6.90547
4228,107.519,-6.90551
4229,107.519,-6.90563
4230,107.52,-6.90584
4231,107.52,-6.90588
4232,107.52,-6.90595
4233,107.521,-6.90611
4234,107.522,-6.906
4235,107.522,-6.90597
4236,107.522,-6.90593
4237,107.523,-6.90581
4238,107.523,-6.90579
4239,107.523,-6.90577
4240,107.523,-6.90568
4241,107.523,-6.90565
4242,107.524,-6.90563
4243,107.524,-6.9055
4244,107.524,-6.90548
4245,107.525,-6.90522
4246,107.525,-6.90515
4247,107.526,-6.90507
4248,107.527,-6.90463
4249,107.528,-6.90454
4250,107.528,-6.90448
4251,107.53,-6.90406
4252,107.53,-6.90405
4253,107.53,-6.90396
4254,107.53,-6.90392
4255,107.556,-6.88657
4256,107.556,-6.88648
4257,107.557,-6.88455
4258,107.557,-6.88406
4259,107.557,-6.88393
4260,107.557,-6.88385
4261,107.557,-6.88378
4262,107.557,-6.88372
4263,107.557,-6.88365
4264,107.558,-6.88218
4265,107.558,-6.88213
4266,107.558,-6.88205
4267,107.558,-6.8814
4268,107.558,-6.88118
4269,107.559,-6.88021
4270,107.559,-6.88019
4271,107.559,-6.88015
4272,107.559,-6.88008
4273,107.559,-6.88002
4274,107.559,-6.87998
4275,107.559,-6.87993
4276,107.559,-6.87987
4277,107.559,-6.87982
4278,107.559,-6.87975
4279,107.559,-6.87777
4280,107.559,-6.87767
4281,107.56,-6.87637
4282,107.562,-6.87194
4283,107.562,-6.87198
4284,107.562,-6.87207
4285,107.562,-6.872
4286,107.56,-6.87623
4287,107.56,-6.87634
4288,107.558,-6.88259
4289,107.558,-6.88266
4290,107.558,-6.88321
4291,107.557,-6.88341
4292,107.557,-6.88343
4293,107.557,-6.88366
4294,107.557,-6.88382
4295,107.557,-6.88387
4296,107.557,-6.88412
4297,107.557,-6.88543
4298,107.557,-6.88549
4299,107.557,-6.88552
4300,107.557,-6.88557
4301,107.556,-6.88787
4302,107.56,-6.87606
4303,107.56,-6.87595
4304,107.56,-6.87591
4305,107.56,-6.87585
4306,107.559,-6.87579
4307,107.559,-6.87566
4308,107.559,-6.87561
4309,107.559,-6.87553
4310,107.559,-6.87544
4311,107.559,-6.87541
4312,107.559,-6.87535
4313,107.559,-6.87521
4314,107.558,-6.8749
4315,107.558,-6.87491
4316,107.557,-6.8742
4317,107.557,-6.87405
4318,107.556,-6.874
4319,107.557,-6.8745
4320,107.557,-6.87452
4321,107.557,-6.87453
4322,107.557,-6.87454
4323,107.56,-6.87603
4324,107.537,-6.89242
4325,107.537,-6.89242
4326,107.537,-6.89242
4327,107.539,-6.8924
4328,107.539,-6.8924
4329,107.539,-6.8924
4330,107.539,-6.89239
4331,107.54,-6.89242
4332,107.54,-6.89243
4333,107.54,-6.89243
4334,107.54,-6.89244
4335,107.54,-6.89244
4336,107.54,-6.89245
4337,107.541,-6.89284
4338,107.541,-6.89286
4339,107.541,-6.89376
4340,107.542,-6.8953
4341,107.542,-6.89542
4342,107.542,-6.89561
4343,107.543,-6.89671
4344,107.543,-6.89695
4345,107.543,-6.89698
4346,107.543,-6.89703
4347,107.543,-6.89819
4348,107.543,-6.89831
4349,107.543,-6.89836
4350,107.543,-6.8984
4351,107.543,-6.89844
4352,107.544,-6.89922
4353,107.544,-6.89924
4354,107.544,-6.89926
4355,107.544,-6.89928
4356,107.544,-6.89967
4357,107.544,-6.89973
4358,107.544,-6.90023
4359,107.544,-6.90029
4360,107.544,-6.9003
4361,107.544,-6.90033
4362,107.544,-6.90037
4363,107.544,-6.90086
4364,107.545,-6.90097
4365,107.545,-6.90102
4366,107.545,-6.90104
4367,107.544,-6.90115
4368,107.544,-6.90048
4369,107.544,-6.90046
4370,107.544,-6.90045
4371,107.544,-6.90034
4372,107.544,-6.90031
4373,107.544,-6.89996
4374,107.544,-6.89995
4375,107.544,-6.89985
4376,107.544,-6.89983
4377,107.544,-6.89981
4378,107.544,-6.89966
4379,107.544,-6.89964
4380,107.544,-6.89963
4381,107.542,-6.89498
4382,107.542,-6.89489
4383,107.541,-6.89449
4384,107.541,-6.89409
4385,107.541,-6.89406
4386,107.541,-6.89404
4387,107.541,-6.89367
4388,107.541,-6.89354
4389,107.541,-6.89346
4390,107.541,-6.89344
4391,107.541,-6.89298
4392,107.541,-6.89292
4393,107.541,-6.8929
4394,107.541,-6.89284
4395,107.541,-6.89283
4396,107.541,-6.89272
4397,107.54,-6.8927
4398,107.54,-6.89263
4399,107.54,-6.89261
4400,107.54,-6.89255
4401,107.54,-6.89254
4402,107.54,-6.89253
4403,107.539,-6.89254
4404,107.539,-6.89255
4405,107.539,-6.89258
4406,107.539,-6.89258
4407,107.539,-6.89258
4408,107.538,-6.89259
4409,107.538,-6.89259
4410,107.538,-6.89258
4411,107.538,-6.89258
4412,107.538,-6.89262
4413,107.538,-6.89262
4414,107.538,-6.89262
4415,107.538,-6.89262
4416,107.537,-6.89261
4417,107.537,-6.89261
4418,107.537,-6.89262
4419,107.537,-6.89261
4420,107.537,-6.89261
4421,107.537,-6.89261
4422,107.542,-6.89492
4423,107.542,-6.89583
4424,107.542,-6.89619
4425,107.542,-6.89613
4426,107.542,-6.89605
4427,107.542,-6.89583
4428,107.542,-6.89565
4429,107.542,-6.89553
4430,107.537,-6.89241
4431,107.537,-6.89241
4432,107.537,-6.89241
4433,107.537,-6.89242
4434,107.537,-6.89242
4435,107.537,-6.89242
4436,107.537,-6.89242
4437,107.537,-6.89242
4438,107.537,-6.89241
4439,107.537,-6.89242
4440,107.537,-6.89243
4441,107.538,-6.89243
4442,107.538,-6.89242
4443,107.538,-6.89242
4444,107.538,-6.89243
4445,107.538,-6.89243
4446,107.538,-6.89242
4447,107.538,-6.89242
4448,107.538,-6.89241
4449,107.538,-6.89241
4450,107.538,-6.89241
4451,107.538,-6.89241
4452,107.538,-6.8924
4453,107.538,-6.8924
4454,107.539,-6.8924
4455,107.539,-6.89241
4456,107.539,-6.89239
4457,107.539,-6.89239
4458,107.54,-6.89248
4459,107.54,-6.89251
4460,107.54,-6.89252
4461,107.54,-6.89255
4462,107.541,-6.89266
4463,107.541,-6.89275
4464,107.541,-6.89277
4465,107.541,-6.89281
4466,107.541,-6.89288
4467,107.541,-6.89291
4468,107.541,-6.89292
4469,107.541,-6.89297
4470,107.541,-6.89301
4471,107.541,-6.89361
4472,107.542,-6.89537
4473,107.542,-6.89565
4474,107.542,-6.8957
4475,107.542,-6.89572
4476,107.542,-6.89574
4477,107.542,-6.89577
4478,107.542,-6.89579
4479,107.542,-6.89582
4480,107.542,-6.89584
4481,107.542,-6.89586
4482,107.542,-6.89588
4483,107.542,-6.89591
4484,107.542,-6.89596
4485,107.542,-6.896
4486,107.542,-6.89604
4487,107.542,-6.89608
4488,107.542,-6.89613
4489,107.542,-6.89616
4490,107.542,-6.89619
4491,107.542,-6.89622
4492,107.543,-6.89626
4493,107.543,-6.89629
4494,107.543,-6.8964
4495,107.543,-6.89644
4496,107.543,-6.89658
4497,107.543,-6.89662
4498,107.543,-6.89825
4499,107.543,-6.89833
4500,107.543,-6.89838
4501,107.543,-6.89865
4502,107.544,-6.89904
4503,107.544,-6.89907
4504,107.544,-6.89909
4505,107.544,-6.89916
4506,107.544,-6.89918
4507,107.544,-6.89937
4508,107.544,-6.89939
4509,107.544,-6.89948
4510,107.544,-6.89952
4511,107.544,-6.89955
4512,107.544,-6.89958
4513,107.544,-6.8996
4514,107.544,-6.89964
4515,107.544,-6.90041
4516,107.544,-6.90043
4517,107.544,-6.90048
4518,107.544,-6.90052
4519,107.544,-6.90058
4520,107.544,-6.90066
4521,107.544,-6.90072
4522,107.544,-6.90079
4523,107.544,-6.90083
4524,107.545,-6.90093
4525,107.544,-6.90124
4526,107.544,-6.90122
4527,107.544,-6.90119
4528,107.544,-6.90109
4529,107.544,-6.90102
4530,107.544,-6.90099
4531,107.544,-6.90094
4532,107.544,-6.90091
4533,107.544,-6.90088
4534,107.544,-6.90083
4535,107.544,-6.90075
4536,107.544,-6.90072
4537,107.544,-6.90067
4538,107.544,-6.9006
4539,107.544,-6.90055
4540,107.544,-6.90053
4541,107.544,-6.90049
4542,107.544,-6.90008
4543,107.544,-6.90007
4544,107.544,-6.90006
4545,107.544,-6.90005
4546,107.544,-6.90002
4547,107.544,-6.89993
4548,107.544,-6.89989
4549,107.544,-6.8998
4550,107.544,-6.89977
4551,107.544,-6.89971
4552,107.544,-6.89969
4553,107.544,-6.89955
4554,107.544,-6.89954
4555,107.544,-6.89952
4556,107.544,-6.8995
4557,107.544,-6.89939
